"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_vianant","Descripcio_tipus_vehicle","Descripcio_model","Descripcio_marca","Descripcio_color","Descripcio_carnet","Antiguitat_carnet","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2023S000510    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0656 0656","Dijous","2023",1,"Gener","26","14","Tarda","No és causa del  vianant","Autobús","EUR C 43 SRI","IRISBUS","Blau","D","6","430762.27 ","4582690.25","2.170701971","41.390917887"
"2023S000510    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0656 0656","Dijous","2023",1,"Gener","26","14","Tarda","No és causa del  vianant","Motocicleta","SES 125","HONDA","Platejat","B","6","430762.27 ","4582690.25","2.170701971","41.390917887"
"2023S003200    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0662 0662","Dilluns","2023",5,"Maig","29","12","Matí","No és causa del  vianant","Turisme","MAZDA 3","MAZDA","Blau","B","9","430786.78 ","4582752.66","2.170987978","41.391482105"
"2023S003200    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0662 0662","Dilluns","2023",5,"Maig","29","12","Matí","No és causa del  vianant","Veh. mobilitat personal amb motor","M-365","XIAOMI","Negre","Desconegut","Desconegut","430786.78 ","4582752.66","2.170987978","41.391482105"
"2023S003763    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0665 0665","Dijous","2023",6,"Juny","22","16","Tarda","No és causa del  vianant","Camió rígid <= 3,5 tones","DOBLO","FIAT","Blanc","B","2","431112.06 ","4583023.89","2.174847528","41.393952935"
"2023S003763    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0665 0665","Dijous","2023",6,"Juny","22","16","Tarda","No és causa del  vianant","Furgoneta","KANGOO","RENAULT","Blanc","B","36","431112.06 ","4583023.89","2.174847528","41.393952935"
"2023S003763    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0665 0665","Dijous","2023",6,"Juny","22","16","Tarda","No és causa del  vianant","Turisme","TOYOTA C-HR","TOYOTA","Gris","B","35","431112.06 ","4583023.89","2.174847528","41.393952935"
"2023S007362    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0669A0669A","Dimarts","2023",12,"Desembre","12","18","Tarda","No és causa del  vianant","Motocicleta","BESBI","DAELIM","Negre","B","18","431267    ","4583221.11","2.176678318","41.395742501"
"2023S007362    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0669A0669A","Dimarts","2023",12,"Desembre","12","18","Tarda","No és causa del  vianant","Motocicleta","SH125AD","HONDA","Blanc","B","23","431267    ","4583221.11","2.176678318","41.395742501"
"2023S005316    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0669B0669B","Dijous","2023",9,"Setembre","7","17","Tarda","No és causa del  vianant","Bicicleta","Desconegut","ROCKRIDER","Negre","Desconegut","Desconegut","431314.18 ","4583230.39","2.177241585","41.395830117"
"2023S005316    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0669B0669B","Dijous","2023",9,"Setembre","7","17","Tarda","No és causa del  vianant","Furgoneta","KANGOO","RENAULT","Blanc","B","16","431314.18 ","4583230.39","2.177241585","41.395830117"
"2023S001033    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0669B0669B","Dilluns","2023",2,"Febrer","20","10","Matí","No és causa del  vianant","Furgoneta","JUMPER BLUEHDI 120 S&S","CITROEN","Groc","B","4","431267    ","4583221.11","2.176678318","41.395742501"
"2023S001033    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0669B0669B","Dilluns","2023",2,"Febrer","20","10","Matí","No és causa del  vianant","Turisme","KONA","HYUNDAI","Vermell","B","32","431267    ","4583221.11","2.176678318","41.395742501"
"2023S003047    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0670 0670","Dimarts","2023",5,"Maig","23","10","Matí","No és causa del  vianant","Autobús articulat","NEW CITY MAN A-24GNC","CARROCERA CASTROSUA SA","Desconegut","D","34","430856.46 ","4582782.32","2.171817977","41.39175524"
"2023S002246    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0674 0674","Dimecres","2023",4,"Abril","19","15","Tarda","No és causa del  vianant","Furgoneta","SPRINTER","MERCEDES-BENZ","Altres","B","4","430886.26 ","4582847.07","2.172167","41.392340987"
"2023S002246    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0674 0674","Dimecres","2023",4,"Abril","19","15","Tarda","No és causa del  vianant","Motocicleta","UK 110","SUZUKI","Blau","B","6","430886.26 ","4582847.07","2.172167","41.392340987"
"2023S002709    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0679 0679","Dissabte","2023",5,"Maig","6","19","Tarda","No és causa del  vianant","Turisme","ECO SPORT","FORD","Blanc","B","5","431309.13 ","4583297.92","2.177173517","41.396437908"
"2023S002709    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0679 0679","Dissabte","2023",5,"Maig","6","19","Tarda","No és causa del  vianant","Turisme","LEON","SEAT","Blanc","B","27","431309.13 ","4583297.92","2.177173517","41.396437908"
